,empresa,cargo,ubicación,detalles
642,Jael Paredes,Analista de Sistemas Senior,Ciudad de México,"PORTO MX

Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos temporales o permanentes. Nuestros servicios a nivel General son la Administración de Nominas, Staffing IT, R&S y más.

En este momento solicitamos:
Analista de Sistemas Senior

ZONA DE TRABAJO: Colonia Del Valle, Benito Juárez
SUELDO: $22,000.00 mensuales

REQUISITOS:
Escolaridad: Ingeniería Industrial o a fin,
Edad: 25 a 40 años
Sexo: Indistinto

EXPERIENCIA:
Al menos 6 años de experiencia en sistemas
Al menos 2 años en puesto similar
UML
Visio
Enterprise Architect

ACTIVIDADES:
Estarán participando en importantes proyectos del sector salud en la parte de análisis.

HABILIDADES:
Analítica
Proactivo
Organizado
Trabajo en equipo
Tolerante a la frustración
Comprometido
Sin problemas de horario

Interesados enviar CV con expectativas económicas y nombre de la vacante a jael.paredes@portomx.com"
643,CADEN,PM intermedio o Líder de proyecto Sr. para Soporte remoto a IT,Ciudad de México,"Se requiere PM intermedio o Líder de proyecto Sr. para Soporte remoto a IT con las siguientes características:
Ingeniero o licenciado de carreras de sistemas o electrónica.
Conocimientos en:
Ventanas de servicio
SLAs
Niveles de severidad
Tiempos de atención (llamada) de la mesa de servicio
RCAs
Tickets
Backlog
IMAC de SW y HW
Control de IDCs
Fundamentos de ITIL
Practicas del PMI para manejo de proyectos
Manejo de herramientas de seguimeinto
Experiancia en administración de:
Soporte remoto de nivel 1.5 o 2.0 por medio de la herramienta que EL CLIENTE decida
Recepción de incidentes y/o requerimientos en la herramienta de incidentes y requerimientos que EL CLIENTE decida
Documentación, cierre de incidentes y requerimientos
Cumplimiento de niveles de servicio especificados en este documento para incidentes y/o requerimientos asignados a este servicio.
Dentro de un horario de atención/solución que se especifica en este documento
Emisión de reportes
Asignación del personal suficiente y necesario para la prestación de este servicio en base al horario especificado para el cumplimiento de los Niveles de Servicio descritos en este documento.
Contar con la aprobación del usuario para realizar la conexión remota a su equipo
Realizar el contacto con el usuario previo a la conexión remota a su equipo
Apego o uso de un “script” aprobado y en caso de que EL CLIENTE decida
Encuestas de Satisfacción
Matrices de escalamiento
HABILIDADES DE LIDER DE PROYECTO
Capacidad de manejo de personal y administración de proyectos.
Conocimiento de ITIL, (Deseable certificado en fundamentos V3 2011).
Conocimientos de Agile.
Desarrollo de estrategias para la optimización y eficiencia del proyecto.
Conocimientos avanzados en reparación de Hardware, sistemas operativos Microsoft Windows vigentes, herramientas de productividad Microsoft, periféricos de equipos de computo, básicos de telefonía, redes y cableado.
Conocimientos en Internet /Correo Electrónico.
Facilidad de Comunicación y trato de usuarios de alto rango.
Actitud de servicio.
Tener al menos un curso de liderazgo."
644,NEC de México,Ingeniero de Soporte en Tecnologías de Transporte Óptico,Ciudad de México,"NEC de México, S. A. de C. V. empresa multinacional Japonesa de Soluciones IT y Telecomunicaciones te invita a integrarte a su equipo de trabajo como:

Ingeniero de Soporte en tecnologías de transporte óptico

¡Estamos buscando tu Talento!

Actividades:
Soporte remoto y/o en sitio a los equipos (multiplexores SDH, sistemas Ethernet L2, C/DWDM)
Análisis de incidentes para generar planes de acción de mejora
Elaboración de reportes diversos internos y externos para monitorear los niveles de servicio.
Cubrir guardias de soporte en sitio de 7/24 en sistemas de transporte óptico de los equipos TM e infinera.

Envía tu CV indicando el nombre de la vacante, así como tus pretensiones económicas.
Requerimientos:
Requisitos:
Escolaridad: Ing. En Comunicaciones y Electronica.
Inglés: Intermedio.
Disponibilidad de tiempo de 7/24
Experiencia 1 año en soporte a 2do nivel
Habilidades Personales: Facilidad de comunicación verbal, trabajo bajo presión y en equipo, actitud de servicio, autodidacta.

Manejo y conocimiento indispensable de:
Sistemas de telecomunicaciones, SDH, SDH NG, C/DWDM
Soporte nivel 2"
645,Novamund,Especialista en soport de IT para Call Center,Ciudad de México,"Requisitos y responsabilidades:
Conocimiento avanzado de LAN
Instalación de LAN
Conocimiento de AD hoy la (configurar dominio en PC)
Conocimiento de MS Windows (instalación)
Conocimiento de productos MSOrientado al servicio con los clientes.
Experto en productos y servicios.
Especialista en análisis de sistemas.
Comunicador excelente tanto de forma oral como escrita.
Habilidades profesionales de uso de un ordenador y MS Office, incluyendo Word, Excel…
Facilidad de aprendizaje de nuevas tecnologías, así como experiencia haciendo pruebas en versiones beta de software.
Garantía de Calidad.
Experto en resolución de problemas.
Habilidad analítica y de diagnóstico de problemas, incluso antes de que estos sucedan.
Clientes informados periódicamente del progreso de los problemas que hayan surgido mediante llamadas telefónicas durante un periodo de tiempo definido.
Ayuda a miembros del equipo y provisión de soporte y soluciones a las preguntas de los clientes para lograr los objetivos de la compañía.
Mantenimiento del conocimiento actualizado de los productos de la compañía, así como de los servicios para proveer el mejor soporte posible al cliente.

Condiciones:
Trabajar según el Código del Trabajo
Tiempo completo = Salario + bonificación

Experiencia total
Más de 2 años en call center o empresa similar
Excelente comunicación Verbal y escrita
Experiencia y mentalidad sólida para la solución de problemas tecnicos.
Conocimiento del proceso de gestión del contenido del agente (base de conocimiento)
Gran capacidad para informar utilizando Word, Power-point
Habilidad de análisis con Excel

Condiciones:
Contrato Permanente."
646,Hampton by Hilton,Invitado Agente de Servicio,"Cancún, QRoo.","Ubicaciones de trabajo
:
Hampton Inn by Hilton Cancun Cumbres
Blvd. Luis Donaldo Colosio MZA 1 LTE 4-02, SM 310
Cancun 77560
Un Agente de Servicio al Huàsped ofrece servicios de acogida para personas de movilidad para contribuir a una experiencia excepcional en general desde el check-in check-out a travàs de auditorías completas y, cuando sea necesario.
¿Qué voy a estar haciendo?
Agente de Servicio al Huàsped, va a proporcionar los servicios de acogida para personas de movilidad para contribuir a una experiencia excepcional en general desde el check-in check-out a travàs de auditorías completas y, cuando sea necesario. Una recepcionista contribuye a las primeras impresiones de nuestros clientes y, por tanto, debe realizar las siguientes tareas para los más altos estándares:
lograr resultados positivos de las consultas de los clientes de manera oportuna y eficiente
asegurar una experiencia de recepción eficiente para personas de movilidad, incluyendo check in / out, y los procedimientos completos de auditoría, según sea necesario
Asegúrese de que el Gerente de Servicio al Huàsped se mantiene totalmente al tanto de cualquier información relevante de los clientes y, o, en otros departamentos
Demostrar un alto nivel de servicio al cliente en todo momento
Asistir a cursos de formación adecuados, cuando sea necesario, y ayudar con la formación del equipo de la Noche y los esfuerzos de desarrollo
Demostrar un conocimiento de las categorias de hotel, tarifas, paquetes, promociones y otros conocimientos general de los productos necesarios para realizar tareas diarias
maximizar la ocupación de habitaciones y uso de las técnicas de up-selling para promover los servicios e instalaciones del hotel
Utilice los procedimientos correctos con respecto a la aceptación de moneda extranjera, tarjetas de crédito y dinero en efectivo, de conformidad con la política de crédito hotel
Cumplir con la seguridad del hotel, la normativa contra incendios y toda la legislación salud y la seguridad
Ley, de conformidad con las políticas y procedimientos cuando se trabaja con el frente de los equipos de casa y los sistemas de gestión de la propiedad
Siga las normas de la empresa marca
Ayudar a otros departamentos, según sea necesario
¿Qué estamos buscando?
Agentes de servicio al huésped siempre están trabajando en nombre de nuestros clientes y trabajar con los miembros del equipo. Para completar con éxito esta función, debe mantener la actitud, comportamiento, habilidades y valores que siguen:
Experiencia anterior en una industria centrada en el cliente
Actitud positiva y buenas habilidades de comunicación
Compromiso de ofrecer un alto nivel de servicio al cliente
Excelentes normas de aseo personal
Capacidad para trabajar en su propio y como parte de un equipo
Competente nivel de dominio de IT
Seráa ventajoso en esta presión para que usted pueda demostrar las siguientes capacidades y distinciones:
Experiencia previa en el manejo de efectivo
¿Cómo sera la experiencia de trabajar para Hilton?
Hilton es la empresa líder mundial, que abarca el sector de alojamiento, desde hoteles de servicio completo de lujo y complejos turísticos hasta suites para estadías prolongadas y hoteles de precio medio. Durante casi un siglo, Hilton ha ofrecido a los viajeros de negocios lo mejor en alojamiento, servicio, esparcimiento y valor. Hilton está dedicada a continuar su tradición de proporcionar a sus huéspedes experiencias excepcionales a través de sus marcas globales . Nuestra visión ""para llenar la tierra con la luz y el calor de la hospitalidad - mediante la entrega de una experiencia excepcional - cada hotel, cada huésped, cada vez que"" nos une como un equipo para crear experiencias de hospitalidad notables en todo el mundo todos los días. Y, nuestros increíbles miembros del equipo están en el centro de todo!
EOE/AA/Minusválidos/Veteranos
Horario
: Tiempo completo
Marca : Hampton by Hilton
Turno
: Trabajo de día
Nivel de puesto
: Colaborador individual
Puesto
: Operaciones/Servicios para Huéspedes y Recepción"
647,Continental AG,IT Intern,"Delicias, Chih.","Tasks

Proyecto: Mejoras a la infraestructura

Necesidad/Justificación actual del Proyecto: Se requiere un practicante con la finalidad de que se involucre en el desarrollo de diversos proyectos que se basan en mejorar la Infraestructura que actualmente existe.

Objetivos/Entregable(s) esperados del Proyecto: Inventarios de la nueva infraestructura y cartas responsivas.

Objetivos de aprendizaje para el Intern: El objetivo es que conozca los parámetros de integración de diferente tecnología para beneficio y seguridad de la industria.

Principales actividades a realizar: Inventarios de Nuevo equipo, sea involucrado en la configuración, apoyo con pruebas de seguridad.

Qualifications

Estudiante activo de la carrera de Ing. Tecnologías de la Información o afín
Nivel de Inglés intermedio-avanzado.
Ser estudiante activo previo a 1 año para finalizar la carrera.
Paquetería office nivel Intermedio.
Disponibilidad de tiempo por las mañanas.
Responsable, proactivo, organizado.

Benefits

Reisekostenzulage
Gesundheitsvorsorge
Karriereberatung und Trainingsangebot
Kantine
Lebensversicherung
Gehaltsbonus
Mitarbeiter werben Mitarbeiter
Flexible Arbeitszeiten
About us

El área de negocio ContiTech desarrolla, fabrica y comercializa productos, sistemas y componentes inteligentes hechos de caucho, plástico, metal y textiles. Estos productos se usan en la minería, la agricultura, la ingeniería ferroviaria, la fabricación de máquinas y la construcción de plantas, la industria del automóvil y otros sectores importantes del futuro.

Keyfacts

Job-ID
169243BR
Function

Engineering
Nice to know

Continentals Spezialisten aus unterschiedlichen Disziplinen treiben den Trend des Automatisierten Fahrens mit aller Innovationskraft voran.
Direkt zur Karriere Website"
648,Porto Mx,Líder de Proyecto en Sistemas,Ciudad de México,"PORTO MX
Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos temporales o permanentes. Nuestros serviciosa nivel General son la Administración de Nominas, Staffing IT, R&S y más.

En este momento solicitamos:
LÍDER DE PROYECTO EN SISTEMAS


ZONA DE TRABAJO: Lomas deChapultepec
SUELDO: $ 31,500 MENSUALES


REQUISITOS:
Escolaridad: Ing. en Sistemas Computacionales, Informática o afín.
Edad: 25 a 35 años
Sexo: Indistinto


EXPERIENCIA:
Más de 3 años de experienciaen puesto similar.
De 1 a 2 años en lossiguientes módulos de SAP:
FI-CO
HHPP
Se evaluará liderazgo, empuje y dinamismo
80% Inglés

ACTIVIDADES:
Diseñar planes de trabajo y proyectos
Manejo y negociación con proveedores
Incorporar procesos
Manejo exclusivo de plataformas
Coordinar la solución y análisis a los problemas de usuarios

HABILIDADES:
Responsabilidad,honestidad, tolerante a la frustración.
Disponibilidad de horario.




Interesados enviar CV con expectativas económicas y nombre de la vacante al correo abajo indicado."
649,NEC de México,Técnico de Servicio Retail CDMX,Ciudad de México,"NEC de México, S. A. de C. V. empresa multinacional Japonesa de Soluciones IT y Telecomunicaciones te invita a integrarte a su equipo de trabajo como Técnico de Servicio para el Sector Retail.

¡Estamos buscando tu Talento!

Funciones:
Mantenimientos Preventivos a equipos de comunicación, POS y CCTV
Mantenimientos Correctivos a equipos de comunicación, POS y CCTV
Mantenimientos Express a impresoras
Renovaciones e Instalaciones de Equipos de Comunicaciones, POS y CCTV

Ofrecemos:
Sueldo base más bono por disponibilidad, prestaciones de ley, Seguro de Gastos Médicos Mayores y Seguro de Vida.
Zona de Trabajo Ciudad de México

Envía tu CV en formato Word o PDF al correo del contacto indicando el nombre de la vacante y pretensiones económicas.
Requerimientos:
Requisitos:
Escolaridad: Carrera Técnica en Tecnologías de la información, Telemática, Licenciatura en Sistemas Computacionales, trunca, pasante ó recien egresado.
Experiencia: 6 meses
Licencia de conducir: Indispensable
Disponibilidad para viajar: Indispensable
Habilidades Personales: Manejo de estrés, facilidad de habla y entendimiento, proactivo, puntual.

Conocimientos y habilidades:
Sistemas computacionales, Comunicaciones, Cableado estructurado, POS, CCTV"
650,"Bose Corporation, S.A. de C.V.",Tecnico IT Soporte Tecnico (Turno 7pm-7am),"Tijuana, B.C.","Descripción y detalle de las actividades
Descripcion General: El titular del puesto es responsable de proveer soporte técnico a usuarios de oficina y en un ambiente de manufactura, con habilidades para resolver problemas diversos de primer nivel, Debe ser la primera línea de soporte para cualquier evento relaciones con sistemas computaciones, debe conducir actividades básicas de instalación y análisis de problemas de cuestiones relacionadas a computadoras de escritorio, laptops, teléfonos, conexiones de red, impresoras y soporte básico a software, Funciones General: • Primera línea de atención para problemas relacionados con HW y SW de Tecnologías de la Información • Instalación de software para usuarios y configuración de dispositivos periféricos como impresoras y otros • Proveer soporte básico para problemas de sistemas y equipos en el piso de producción • Proveer soporte básico en computadoras de escritorio, laptops, impresoras, teléfonos, conexiones de red y SW en general • Ayudar con las conexiones de red y cambios en las distribuciones • Aplicar los estándares de soporte e instalaciones de la corporación Funciones Especificas: • Resolver los tickets que se les sean asignados y escalar con los analistas los problemas que salgan de su área de acción • Apoyar con soporte de primer nivel al área de Producción cuando es el único miembro del área en turno • Atender las llamadas que entran a la línea de soporte técnico • Atender a los usuarios que piden ayuda directamente en el departamento • Apoyar en la implementación de las iniciativas de los grupos corporativos • Apoyar en la implementación de proyectos de impacto local • Asignar políticas de acceso a usuarios y equipos de TI • Cargar imágenes corporativas en nuevo Hardware y reparaciones de HW existente • Instalación física de HW para los usuarios
Experiencia y requisitos
Requerimientos Especificos: • Educacion: Ingeniera o Licenciatura en el área de Tecnologías de la Información o afín. (Pasante o Titulado) Ingles básico hablado y escrito • Experiencia: Experiencia mínima de 1 año en soporte técnico Experiencia en entornos Microsoft, incluyendo paquetería de Office y Sistemas operativos Windows Experiencia en diagnóstico de HW de computadoras; basica en cableado estructurado Experiencia con sistemas de administración de tickets de trabajo / soporte remoto a usuarios Requerimientos Deseables • Entrenamiento y/o certificación en área de IT como A+, N+, MCP, ITIL, CCNA, etc. • Conocimiento en mantenimiento y reparación de impresoras Zebras • Entrenamiento y/o certificación en técnicas de solución de problemas • Conocimientos de sistemas operativos de Servidor en plataforma de Windows / Linux • Ingles hablado y escrito Candidato debe tener disponibilidad para laborar de 7pm - 7am de Miercoles a Sabado"
651,Data Warden,Auditor IT,"Querétaro, Qro.","Job Type:
Permanente
Number of Positions:
1
Job Post Link:
https://datawarden.webhr.co/hr/careers/?jp=17392294
Job Description:
Gestionar entregas de información de requerimientos del auditor con las áreas de la empresa.
Documentar, exponer y sustentar los controles existentes sobre procesos y tecnologías auditadas
Revisión de la información entregada para identificar relaciones de datos y/o desviaciones a través de minería y análisis de datos
Dar seguimiento a proyectos de atención de recomendaciones de auditoria
Evaluar la efectividad de controles propuestos o correcciones realizadas para la atención de recomendaciones de auditoria
Generar informes de avances, estadísticos de requerimientos, planes de atención y auditorias en curso
Generar reportes técnicos y con alta calidad de sustento regulatorio para dar respuesta a posibles recomendaciones y/o cuestionamientos de los auditores

->Esta posición es para trabajar en la Ciudad de Quéretaro desarrollando proyectos con clientes de Data Warden.

Candidate Qualification:
Ingeniero/licenciado en sistemas, computación o informática; o alguna carrera a fin
Inglés: Avanzado
Candidate Experience:
Intermedio: Seguridad de la información, sistemas operativos y bases de datos
Avanzado: ACL o Excel (herramientas análisis de datos)
Gestión de proyectos (deseable en caso de falta de experiencia en gestión de auditorías)
Experiencia de 3 a 5 años en auditoria de TI (Auditor de TI, Gestor de auditorías, Evaluación de controles)
Experiencia de 1 a 2 años en Administración de proyectos o múltiples auditorias de forma simultanea"
652,Trinity Industries,Administrador de Sistemas,"Huehuetoca, Méx.","Trinity Industries de México es subsidiaria de Trinity Industries Inc., una Compañía Industrial diversificada, que integra a las Empresas líderes en el mercado, las cuales ofrecen productos y servicios para los sectores de energía, transporte, químicos y de la construcción.
Trinity Industries Inc. se compone de cinco segmentos de negocios:
Carros de Ferrocarril
Arrendamiento y servicios de Carros de Ferrocarril
Barcazas para navegación fluvial
División de productos para la construcción
División de Energía
Actualmente contamos con 78 plantas a lo largo de los Estados Unidos de Norteamérica, México, Sudamérica y Europa, en las que utilizamos las más estrictos estándares de Calidad.
Entre los Organismos que continuamente certifican la calidad en los productos y procesos de Trinity se encuentran:
ASME (American Society Mechanical Enginner)
DOT (Department of transportation)
AAR ( American Railroad Association)
ISO 9001:2000 (Organización Internacional de Normalización)
Administrador de sistemas
Objetivo:
Dar apoyo al Gerente de Infraestructura para administrar los recursos de la red de cómputo y comunicaciones de cada planta o localidad.
Funciones generales:
Administrar y configurar la red de cómputo y las aplicaciones instaladas en el server, para optimizar los recursos computacionales existentes. Controlar los manuales y el inventario de hardware y software, para evitar incurrir en riesgos y garantizar la integridad de la información. Efectuar los respaldos diarios del servidor, para asegurar la integridad de la información, en caso de siniestros.
Participar en las decisiones para la adquisición de equipo, así como en la evaluación y supervisión de los prestadores de servicios de mantenimiento de equipo de cómputo y telefonía.
Generar cuentas de acceso a los sistemas informáticos de los nuevos empleados a través del corporativo en Dallas conforme a procedimientos, mediante un ticket de servicio.
Revisar y solucionar fallas en programas y/o procesos. En caso de ser necesario se coordinará la revisión de dichas fallas con IT Dallas.
Proporcionar al gerente de Infraestructura los reportes actualizados de inventario de activos de cómputo y equipos de comunicaciones. Analizar, documentar y respaldar la información de los reportes solucionados con la herramienta de tickets de servicio.
Administrar, auditar el resguardo y control de equipos asignados a los usuarios. Realizar actualizaciones en los procedimientos de sistemas ante algún cambio.
Monitorear problemáticas relacionadas con la comunicación inter plantas en los sistemas de e-mail y demás aplicaciones que están ejecutándose a través de la red corporativa de la compañía.
Requisitos:
Ingeniería en comunicaciones y electrónica, Ingeniería en Sistemas, Licenciatura en Informática o carrera afín.
Experiencia 2 a 3 años en manejo de redes, administración de servidores, manejo de proveedores, instalación de software, Manejó de Bases de Datos, manejo de equipos Cisco
Conocimientos:
Cisco CCNA
Inglés intermedio (Deseable)
Windows 7, Windows Server 2012, Data Bases SQL 2012
Manejo de Office
Políticas y procedimientos de la compañía
SOX
Proyectos especiales cableado Estructurado"
653,Kuehne+Nagel,Ing. Soporte Técnico IT (Infra),"Cuautitlán Izcalli, Méx.","Nos encontramos en la búsqueda de un Ing. Soporte Técnico de IT (Infra) para incorporarse a nuestro equipo de trabajo en Cuautitlán/Tlalnepantla.
Tu función
En este rol, el Analista de Soporte Técnico IT (Infra) deberá brindar servicio de soporte técnico de manera local para la resolución de problemas en equipos de cómputo, sistemas de comunicación y aplicaciones de usuarios internos asi como apoyo a usuarios externos.
Tus responsabilidades
1. Ayudar en la resolución de problemas técnicos a los usuarios de sistemas
2. Documentar en la plataforma de tickets la resolución de problemas técnicos
3. Brindar asesoría a los usuarios sobre el uso de los recursos informáticos
4. Dar soporte técnico (1er nivel) a los problemas de redes, computo, telefonía, RF y aplicaciones de escritorio
5. Buscar soluciones a problemas básicos de clientes externos (en cuanto a soporte técnico)
6. Reubicar equipos de cómputo y telefonía de acuerdo a los movimientos de personal
7. Brindar soporte técnico remoto a los usuarios en caso de contingencia
8. Reestablecer los sistemas post-contingencia
9. Ofrecer soporte técnico a todos los usuarios que lo requiera
Tus habilidades y experencias
Ing. en Sistemas o Redes (Titulado, indispensable)
CONOCIMIENTOS:
Microsoft SQL server versiones 2008 en adelante (deseable certificación)
Microsoft Windows server 2008 en adelante
Gestión de proyectos
Gestión de incidentes (ITIL)
Redes de datos LAN/WIFI WAN
VoIP
Sistemas CCTV y control de acceso
Deseable haber trabajado en centros de distribución
APTITUDES:
Proactivo
Trabajo en equipo
Excelente actitud de servicio
Altamente enfocado en atención a usuarios
Autodidacta
Por qué deberías unirte a nosotros
Únete a Kuehne + Nagel México donde podrás desarrollar tu carrera profesional en una Compañía líder en el sector de Logística y Comercio Internacional. Ofrecemos compensación competitiva, un paquete integral de beneficios, descuentos para empleados, excelentes programas de capacitación y un entorno de trabajo global altamente dinámico."
654,Grupo Posadas,GERENTE DE SISTEMAS,"Puebla, Pue.","Misión del Puesto
Ejecutar la planeación; análisis; desarrollo e implementación sistemas de información administrativos; de operaciones; control y toma de decisiones de la organización.Diseñar y proponer soluciones tecnológicas estratégicas que apoyen el crecimiento rentable de la empresa.
Áreas de Especialización
Sistemas de la Información
Sistemas de Operación Hotelera
TIC´S

Escolaridad
Licenciatura en Informática o Sistemas
Titulado
Paquetes Informáticos
Clarity
Office
Visio
Idiomas
Inglés
Español
Experiencia
Project IT Manager;Technical IT support ;Project Leader;2 años
Comentarios Adicionales
Manejo de equipos multidisciplinarios. Manejo de Proveedores de tecnología externos.Trabajo colaborativo con diferentes Áreas de Tecnología de Información dentro de Grupo Posadas.Entrega de información a diversas áreas de Posadas como Auditoría corporativa; Gestión Estratégica; Legal; Compras; Inmobiliaria y Recursos Humanos.
Principales funciones del puesto
Coordinar y apoyar la instalación de modificaciones, actualizaciones o versiones nuevas de los sistemas.
Mantener en operación los sistemas de cómputo para la operación hotelera y dar soporte a los usuarios de dichos sistemas.
Realizar los respaldos y depuración de la información de manera periódica y oportuna.
Revisar la correcta funcionalidad de la red de huéspedes.
Dar soporte a los usuarios de los sistemas computacionales del hotel."
655,"Prime Wheel México, S. de R.L. de C.V.",Auxiliar IT (Sistemas),"Tijuana, B.C.","Descripción y detalle de las actividades
- Conocimientos de hardware/Conocimiento sobre la estructura de una computadora - Habilidad de diagn'ostico Hardware/Software - Capacidad para resoluci'on de problemas - Lleva a cabo el mantenimiento preventivo y correctivo de los equipos de computo - Realiza la instalación y administración de telefonía, auxilia en la instalación de refes estructuradas.
Experiencia y requisitos
- Licenciatura o Ingeniería en Sistemas computacionales, Informática TIC's o afín. - Disponibilidad de horario - Inglés conversacional (60%) - Conocimientos en redes, cableado, sistemas operativos"
656,Flex,Técnico de producto,"Guadalajara, Jal.","Job Description
El Técnico de producto estará ubicado en Guadalajara Norte .
Estamos buscando a alguien que demuestre:
Colaboración intensa
Enfoque Apasionado en el cliente
Ejecución astuta rápida, disciplinada
Compromiso tenaz a la Mejora Continua
Conduce implacablemente para ganar
Aquí hay algunos ejemplos de las actividades que estarás realizando:
Dar soporte a piso de producción
Validación de materiales
Registro, Control y Seguimiento de Cambios de Ingeniería en producción
Registro, Control y Seguimiento de Desviaciones en Producción
Descarga, creación y mantenimiento de documentación
Configuración de sistema Agile, Flex Flow
Generación y control de Matrices de Modelos y Revisiones
Cumplimiento y seguimiento de procedimientos especiales del Cliente
Habilidades indispensables para el rol:
Carrera técnica en electrónica, mecatrónica, o a fin
Experiencia previa en el puesto mínimo de 2 años
Manejo de sistemas Flex Flow, agile, Ban etc
Conocimientos en procesos de manufactura electrónica
Interpretación de billetes de material
Interpretación de especificaciones
Ingles técnico
Manejo de paquetería office
Disponibilidad de horario
Aquí hay algunos ejemplos de nuestros beneficios:
Fondo ahorro
Seguro de vida
Aguinaldo
Prima vacacional
Vales de despensa
Transporte
Comedor Subsidiado
Job Category
Operations
Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accessibility@flex.com . Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.
The information we collect:
We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice .
If you have any queries about the processing of your data, please contact:
Global Data Privacy Officer:
Email Address: dataprotection@flex.com"
657,Shasa,TRAINEE DE IT,"Lerma, Méx.","Somos una Marca de Moda líder en el mercado de Fast Fashion.

Estamos en búsqueda del mejor talento para ocupar la posición de:

Trainee de IT



Actividades a desempeñar:
Atención y/o seguimientos a reportes
Soporte técnico primer nivel a la infraestructura de comunicaciones.
Soporte técnico primer nivel en sistema POS (punto de venta)
Configuración de POS, puntos de acceso, cámaras WiFi e impresoras para tiendas
Administración del almacén de activos IT
Soporte a usuarios de Corporativo

ZONA DE TRABAJO: LERMA, EDO DE MÉXICO

Ofrecemos: $8,000 libre los primes 6 meses + Prestaciones de Ley
Requerimientos:
REQUISITOS:

Escolaridad: Egresado de la Ingeniería en Sistemas
Edad: 22 a 28 años
Sexo: Indistinto
Flexible para adaptarse a los horarios
Disponibilidad para rolar turnos
Analítico (a) y sistemático (a)"
